Name,Brand,SKU,MPN,base_price,MSRP,Image
Cubist Fire Torch Stainless Steel | The Outdoor Plus,"<span itemprop=""name"">The Outdoor Plus</span>",OPT-TT19M-,,704.00,775.00,https://cdn11.bigcommerce.com/s-h4x3egp9by/images/stencil/1280x1280/products/15005/31747/Cubist-Style-Fire-Torch__00285.1599562051.jpg?c=2
Coral Fire Torch Stainless Steel | The Outdoor Plus,"<span itemprop=""name"">The Outdoor Plus</span>",OPT-TT17M-,,704.00,775.00,https://cdn11.bigcommerce.com/s-h4x3egp9by/images/stencil/1280x1280/products/1378/31739/Coral-Style-Fire-Torch_1__81796.1599556602.jpg?c=2
24v Transformer,"<span itemprop=""name"">Tempest Torches</span>",94800830,,306.00,,https://cdn11.bigcommerce.com/s-h4x3egp9by/images/stencil/1280x1280/products/11104/47386/primary_image_standard__23696__47274.1673578219.jpg?c=2
Box Weave Fire Torch Stainless Steel | The Outdoor Plus,"<span itemprop=""name"">The Outdoor Plus</span>",OPT-TT16M-,,796.00,876.00,https://cdn11.bigcommerce.com/s-h4x3egp9by/images/stencil/1280x1280/products/918/31734/TT16-Box-Weave__73691.1599552082.jpg?c=2
Hercules Fire Torch Stainless Steel | The Outdoor Plus,"<span itemprop=""name"">The Outdoor Plus</span>",OPT-TT5M-,,966.00,1063.00,https://cdn11.bigcommerce.com/s-h4x3egp9by/images/stencil/1280x1280/products/1195/47332/TT5-Hercules__45052__03162.1672296329.jpg?c=2
Plumeria Gas Tiki Torch | Fire By Design,"<span itemprop=""name"">Fire by Design</span>",PTTNG,,1116.43,1175.19,https://cdn11.bigcommerce.com/s-h4x3egp9by/images/stencil/1280x1280/products/19088/47061/plumeria-tiki__23548.1667335333.jpg?c=2
TK Torch Complete Kit – Match Lit - HPC,"<span itemprop=""name"">HPC</span>",TK40MAN,,928.91 - 956.78,977.80 - 1007.14,https://cdn11.bigcommerce.com/s-h4x3egp9by/images/stencil/1280x1280/products/11259/47331/eauC-t4S__13147__50203.1672295253.jpg?c=2
Lantern Fire Torch Stainless Steel | The Outdoor Plus,"<span itemprop=""name"">The Outdoor Plus</span>",OPT-TT6M-,,966.00,1063.00,https://cdn11.bigcommerce.com/s-h4x3egp9by/images/stencil/1280x1280/products/608/31759/TT6-Lanter__53937.1599566797.jpg?c=2
Roman Fire Torch Stainless Steel | The Outdoor Plus,"<span itemprop=""name"">The Outdoor Plus</span>",OPT-TT7M-,,1182.00,1301.00,https://cdn11.bigcommerce.com/s-h4x3egp9by/images/stencil/1280x1280/products/1190/31765/TT7-Roman__98862.1601118907.jpg?c=2
Hawi Fire Torch Stainless Steel | The Outdoor Plus,"<span itemprop=""name"">The Outdoor Plus</span>",OPT-TT20M-,,704.00,775.00,https://cdn11.bigcommerce.com/s-h4x3egp9by/images/stencil/1280x1280/products/15006/31749/Hawi-Style-Fire-Torch__37425.1599564406.jpg?c=2
Post,"<span itemprop=""name"">Tempest Torches</span>",94800812,,288.00,,https://cdn11.bigcommerce.com/s-h4x3egp9by/images/stencil/1280x1280/products/19164/49810/94800812__51649.1718304544.jpg?c=2
Pillar Mount,"<span itemprop=""name"">Tempest Torches</span>",94800826,,202.00,,https://cdn11.bigcommerce.com/s-h4x3egp9by/images/stencil/1280x1280/products/11115/20751/tempest-torch-mounting-pillar__46561.1575394866.jpg?c=2
Ellipse Fire Torch Stainless Steel | The Outdoor Plus,"<span itemprop=""name"">The Outdoor Plus</span>",OPT-TT1M-,,796.00,876.00,https://cdn11.bigcommerce.com/s-h4x3egp9by/images/stencil/1280x1280/products/15001/31715/TT1-Elipse_1__51360.1599542383.jpg?c=2
Honeycomb Fire Torch Stainless Steel | The Outdoor Plus,"<span itemprop=""name"">The Outdoor Plus</span>",OPT-TT14M-,,796.00,876.00,https://cdn11.bigcommerce.com/s-h4x3egp9by/images/stencil/1280x1280/products/283/31725/TT14-Honeycomb__49283.1599547822.jpg?c=2
Nest Lantern - American Fyre Designs,"<span itemprop=""name"">American Fyre Designs</span>",715-XX-11-M1XC,,2760.00 - 4728.00,,https://cdn11.bigcommerce.com/s-h4x3egp9by/images/stencil/1280x1280/products/7594/16201/715-CB-11-V1xC__51980__36113.1574443584.jpg?c=2
Black Cone Tiki Torch | Fire By Design,"<span itemprop=""name"">Fire by Design</span>",BCTTNG,,933.85,983.00,https://cdn11.bigcommerce.com/s-h4x3egp9by/images/stencil/1280x1280/products/19078/46998/bctt-ls-b-04-20__10667.1667228708.jpg?c=2
Tiki Torch Deck Mount | Fire By Design,"<span itemprop=""name"">Fire by Design</span>",TDM,,206.23,217.08,https://cdn11.bigcommerce.com/s-h4x3egp9by/images/stencil/1280x1280/products/19081/47007/FBD_Tiki_Torch_Deck_Mount_1_1024x10242x__95307.1667289223.jpg?c=2
TK Torch Head – Match Lit - HPC,"<span itemprop=""name"">HPC</span>",TKHEAD40MAN,,637.48 - 656.61,671.03 - 691.17,https://cdn11.bigcommerce.com/s-h4x3egp9by/images/stencil/1280x1280/products/11261/21794/CGaMC9US__94843.1577732006.jpg?c=2
Deck Mount,"<span itemprop=""name"">Tempest Torches</span>",94800821,,228.00,,https://cdn11.bigcommerce.com/s-h4x3egp9by/images/stencil/1280x1280/products/19799/49812/94800821__23263.1718304866.jpg?c=2
